Name,Type,Speciality,Address,City,Postal_Code,Payment_accepted
Nathalie GARNIER-VIOUGEAT,Physician,Oncologue médical,23 Rue Georges Bizet 75016,Paris,75116,"Cash, Check, Credit card"
Service de chirurgie cancer ORL - Institut Curie ,Hospital,Centre de Lutte Contre le Cancer (CLCC),26 Rue d'Ulm,Paris,75005,"Cash, Check, Credit card"
Fabio GIORGIANO,Physician,Chirurgien général,21 Rue Balzac,Paris,75008,"Cash, Credit card"
Hôpital Cochin - AP-HP,Hospital,Hôpital public,123 Boulevard de Port-Royal,Paris,75014,
Marc Spielmann,Physician,Cancérologue,22 bis rue Georges Bizet,Paris,75116,
Julien Seror,Physician,Chirurgien cancérologue,2 Rue Rousselet,Paris,75007,
Fabio GIORGIANO,Physician,Chirurgien général,56 Avenue Kléber,Paris,75116,"Cash, Credit card"
Institut Curie ,Hospital,Centre de Lutte Contre le Cancer (CLCC),26 Rue d'Ulm,Paris,75005,"Cash, Check, Credit card"
Marc Spielmann,Physician,Cancérologue,15 Rue Jean Nicot,Paris,75007,"Cash, Check"
Daniel ZARCA,Physician,Chirurgien cancérologue,15 Rue Jean Nicot,Paris,75007,"Cash, Check"
Eric LEVY,Physician,Cancérologue,23 Rue Georges Bizet,Paris,75116,"Cash, Check, Credit card"
Fabio GIORGIANO,Physician,Chirurgien général,20 rue Laffitte,Paris,75009,"Cash, Credit card"
Fabio GIORGIANO,Physician,Chirurgien général,25 Rue Condorcet,Paris,75009,"Cash, Credit card"
Hôpital Saint-Louis - AP-HP ,Hospital,Hôpital public,1 Avenue Claude Vellefaux,Paris,75010,"Cash, Check, Credit card"
Marc Spielmann,Physician,Cancérologue,17 Rue Pétrarque,Paris,75116,"Cash, Check"
Fabio GIORGIANO,Physician,Chirurgien général,3 Rue Condorcet,Paris,75009,"Cash, Credit card"
Meriem MOKDAD-ADI,Physician,Cancérologue,8 Place de l'Abbé Georges Hénocque,Paris,75013,"Cash, Check, Credit card"
Valérie Arigon,Physician,Dermatologue et vénérologue,67 Rue Vaneau,Paris,75007,"Cash, Check, Credit card"
